690 files	Cell Line	Factor	UCSC Accession	Size	Additional Details
Download	GM12892	POLR2A	wgEncodeEH001511	412 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=Pol2; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL818; quality=good; tableName=wgEncodeAwgTfbsHaibGm12892Pol2V0416102UniPk; md5sum=df9e7654d54b7e2fd3c3761d507f9f09;
Download	GM12892	POLR2A	wgEncodeEH001512	356 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=Pol2-4H8; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL818; quality=good; tableName=wgEncodeAwgTfbsHaibGm12892Pol24h8V0416102UniPk; md5sum=955b3fd2c17e15be374768e873a579dc;
Download	GM12892	RELA	wgEncodeEH000712	193 KB	lab=Stanford; view=Peaks; treatment=TNFa; antibody=NFKB; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000773; quality=good; tableName=wgEncodeAwgTfbsSydhGm12892NfkbTnfaIggrabUniPk; md5sum=04e9be01c1f8ec8ab361584ba5ef572e;
Download	GM12892	TAF1	wgEncodeEH001513	206 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=TAF1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL818; quality=good; tableName=wgEncodeAwgTfbsHaibGm12892Taf1V0416102UniPk; md5sum=a6e16b9a15532e112ed0ce87aa5d3e33;
Download	GM12892	YY1	wgEncodeEH001609	308 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=YY1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1783; quality=good; tableName=wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk; md5sum=251cca7d4c4ef7b200a0570eadd6b10b;
Download	GM15510	POLR2A	wgEncodeEH000714	381 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Pol2; control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000713; quality=good; tableName=wgEncodeAwgTfbsSydhGm15510Pol2IggmusUniPk; md5sum=9f93c7e5a4e90ca72cd4e1837b9a4e30;
Download	GM15510	RELA	wgEncodeEH000736	323 KB	lab=Stanford; view=Peaks; treatment=TNFa; antibody=NFKB; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000774; quality=good; tableName=wgEncodeAwgTfbsSydhGm15510NfkbTnfaIggrabUniPk; md5sum=0a8f8aa49d19c4be99459da46d8d1f0c;
Download	GM18505	POLR2A	wgEncodeEH000731	453 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Pol2; control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000730; quality=good; tableName=wgEncodeAwgTfbsSydhGm18505Pol2IggmusUniPk; md5sum=ada523023d7dfb24c5238376a08fa01b;
Download	GM18505	RELA	wgEncodeEH000715	218 KB	lab=Stanford; view=Peaks; treatment=TNFa; antibody=NFKB; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000775; quality=good; tableName=wgEncodeAwgTfbsSydhGm18505NfkbTnfaIggrabUniPk; md5sum=94e088b66b7f30a646b4f4f9f8e64fc3;
Download	GM18526	POLR2A	wgEncodeEH000733	342 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Pol2; control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000732; quality=good; tableName=wgEncodeAwgTfbsSydhGm18526Pol2IggmusUniPk; md5sum=b36db960a79d3320b936ffd8f23e6fc8;
Download	GM18526	RELA	wgEncodeEH000716	72 KB	lab=Stanford; view=Peaks; treatment=TNFa; antibody=NFKB; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000776; quality=good; tableName=wgEncodeAwgTfbsSydhGm18526NfkbTnfaIggrabUniPk; md5sum=f2c6aa3ea7d156ff4aca85663e7686e7;
Download	GM18951	POLR2A	wgEncodeEH000739	433 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Pol2; control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000737; quality=good; tableName=wgEncodeAwgTfbsSydhGm18951Pol2IggmusUniPk; md5sum=65ea74a8cf1c2424355dc88d9dd49644;
Download	GM18951	RELA	wgEncodeEH000738	327 KB	lab=Stanford; view=Peaks; treatment=TNFa; antibody=NFKB; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000777; quality=good; tableName=wgEncodeAwgTfbsSydhGm18951NfkbTnfaIggrabUniPk; md5sum=62cacebb4be430908f88f07954f3646a;
Download	GM19099	POLR2A	wgEncodeEH000741	458 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Pol2; control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000740; quality=good; tableName=wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk; md5sum=da7eb392efffee46ab177a63b2d0a837;
Download	GM19099	RELA	wgEncodeEH000717	176 KB	lab=Stanford; view=Peaks; treatment=TNFa; antibody=NFKB; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000778; quality=good; tableName=wgEncodeAwgTfbsSydhGm19099NfkbTnfaIggrabUniPk; md5sum=c539a9aeb3f7e0d489e90d14cd19ba3b;
Download	GM19193	POLR2A	wgEncodeEH000743	432 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Pol2; control=IgG-mus; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000742; quality=good; tableName=wgEncodeAwgTfbsSydhGm19193Pol2IggmusUniPk; md5sum=a4fe0bf4ab52cfb84273b4602b29cb23;
Download	GM19193	RELA	wgEncodeEH000718	129 KB	lab=Stanford; view=Peaks; treatment=TNFa; antibody=NFKB; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000779; quality=good; tableName=wgEncodeAwgTfbsSydhGm19193NfkbTnfaIggrabUniPk; md5sum=40cfc2a9495b31350faa99d1180f2e51;
Download	GM19238	CTCF	wgEncodeEH000570	943 KB	lab=UT-A; view=Peaks; treatment=None; antibody=CTCF; dataVersion=ENCODE Mar 2012 Freeze; controlId=generic_female; quality=good; tableName=wgEncodeAwgTfbsUtaGm19238CtcfUniPk; md5sum=bd0052352d954ab01e3127c2ddbe25b9;
Download	GM19239	CTCF	wgEncodeEH000571	765 KB	lab=UT-A; view=Peaks; treatment=None; antibody=CTCF; dataVersion=ENCODE Mar 2012 Freeze; controlId=generic_male; quality=good; tableName=wgEncodeAwgTfbsUtaGm19239CtcfUniPk; md5sum=645568d25f16153866ac6ad2ae408e00;
Download	GM19240	CTCF	wgEncodeEH000572	867 KB	lab=UT-A; view=Peaks; treatment=None; antibody=CTCF; dataVersion=ENCODE Mar 2012 Freeze; controlId=generic_female; quality=good; tableName=wgEncodeAwgTfbsUtaGm19240CtcfUniPk; md5sum=0ad185ff8275b551e5ceb1eec5aadbd6;
Download	Gliobla	CTCF	wgEncodeEH001135	1.3 MB	lab=UT-A; view=Peaks; treatment=None; antibody=CTCF; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001129; quality=good; tableName=wgEncodeAwgTfbsUtaGlioblaCtcfUniPk; md5sum=f60f23dd0d6f4555c5db77faedf0b755;
Download	Gliobla	POLR2A	wgEncodeEH001136	336 KB	lab=UT-A; view=Peaks; treatment=None; antibody=Pol2; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001129; quality=good; tableName=wgEncodeAwgTfbsUtaGlioblaPol2UniPk; md5sum=f8f3fa9e75186b4e700a780ca11b4d4d;
Download	H1-hESC	ATF2	wgEncodeEH002316	116 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=ATF2_(SC-81188); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6018; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescAtf2sc81188V0422111UniPk; md5sum=323dd9b0b30f827b9de9a9c1f8fd9f31;
Download	H1-hESC	ATF3	wgEncodeEH001566	125 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=ATF3; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescAtf3V0416102UniPk; md5sum=8b2036d7310683867cb7b2c2e6e67f2c;
Download	H1-hESC	BACH1	wgEncodeEH002842	289 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Bach1_(sc-14700); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk; md5sum=274aaaa4edbce327c0997bee805869e1;
Download	H1-hESC	BCL11A	wgEncodeEH001527	51 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=BCL11A; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk; md5sum=55dd6571e7e61198c4b8e601b255ac78;
Download	H1-hESC	BRCA1	wgEncodeEH002801	53 KB	lab=Stanford; view=Peaks; treatment=None; antibody=BRCA1_(A300-000A); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescBrca1IggrabUniPk; md5sum=79a5df9836d4c7426d1119f594c0bc21;
Download	H1-hESC	CEBPB	wgEncodeEH002825	385 KB	lab=Stanford; view=Peaks; treatment=None; antibody=CEBPB; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescCebpbIggrabUniPk; md5sum=b44939bc0145363c22c7a0b135f0fbe7;
Download	H1-hESC	CHD1	wgEncodeEH002095	184 KB	lab=Broad; view=Peaks; treatment=None; antibody=CHD1_(A301-218A); control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000088; quality=good; tableName=wgEncodeAwgTfbsBroadH1hescChd1a301218aUniPk; md5sum=71891a536ed23a626f37d0c9b64ff2b1;
Download	H1-hESC	CHD1	wgEncodeEH002826	58 KB	lab=Stanford; view=Peaks; treatment=None; antibody=CHD1_(A301-218A); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=caution; tableName=wgEncodeAwgTfbsSydhH1hescChd1a301218aIggrabUniPk; md5sum=cf532c98316aae1cad7503f793f054b9;
Download	H1-hESC	CHD2	wgEncodeEH002827	171 KB	lab=Stanford; view=Peaks; treatment=None; antibody=CHD2_(AB68301); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescChd2IggrabUniPk; md5sum=8afd90d7c0fc911516f3c9be17f9c77d;
Download	H1-hESC	CTBP2	wgEncodeEH001767	132 KB	lab=USC; view=Peaks; treatment=None; antibody=CtBP2; control=UCDavis; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001751; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescCtbp2UcdUniPk; md5sum=f94b3f420012b09e65318c77aa1eb8f8;
Download	H1-hESC	CTCF	wgEncodeEH000085	1.3 MB	lab=Broad; view=Peaks; treatment=None; antibody=CTCF; control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000088; quality=good; tableName=wgEncodeAwgTfbsBroadH1hescCtcfUniPk; md5sum=2f6c4125815daf00551e046db4dd87de;
Download	H1-hESC	CTCF	wgEncodeEH000560	757 KB	lab=UT-A; view=Peaks; treatment=None; antibody=CTCF; dataVersion=ENCODE Mar 2012 Freeze; controlId=generic_male; quality=good; tableName=wgEncodeAwgTfbsUtaH1hescCtcfUniPk; md5sum=8a4382e221fec37eecf544658c8ace48;
Download	H1-hESC	CTCF	wgEncodeEH001649	1.0 MB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=CTCF_(SC-5916); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk; md5sum=bdf0645c05ff33558da317b4ef702277;
Download	H1-hESC	EGR1	wgEncodeEH001538	195 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=Egr-1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescEgr1V0416102UniPk; md5sum=5e9d13302f35a4fb79efbd6389e277f7;
Download	H1-hESC	EP300	wgEncodeEH001574	169 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=p300; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescP300V0416102UniPk; md5sum=e375f5124994f81937533e4916c91072;
Download	H1-hESC	EZH2	wgEncodeEH003082	146 KB	lab=Broad; view=Peaks; treatment=None; antibody=EZH2_(39875); control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000088; quality=good; tableName=wgEncodeAwgTfbsBroadH1hescEzh239875UniPk; md5sum=21c04c7e708c5aba1967dc33bf2a5907;
Download	H1-hESC	FOSL1	wgEncodeEH001660	23 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=FOSL1_(SC-183); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescFosl1sc183V0416102UniPk; md5sum=a28b39cafad9eec21ec130443058d45d;
Download	H1-hESC	GABPA	wgEncodeEH001534	111 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=GABP; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk; md5sum=c9f86013ffb58bd2cb5af7ec073be2e5;
Download	H1-hESC	GTF2F1	wgEncodeEH002843	93 KB	lab=Stanford; view=Peaks; treatment=None; antibody=GTF2F1_(AB28179); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescGtf2f1IggrabUniPk; md5sum=f80e39d9f71f0937cb292571dedfe45b;
Download	H1-hESC	HDAC2	wgEncodeEH001659	106 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=HDAC2_(SC-6296); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescHdac2sc6296V0416102UniPk; md5sum=35311e11f0c604e669fe217ccff5996e;
Download	H1-hESC	JUN	wgEncodeEH001854	57 KB	lab=Stanford; view=Peaks; treatment=None; antibody=c-Jun; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescCjunIggrabUniPk; md5sum=43ba3358366a283f90e54712856cb4a0;
Download	H1-hESC	JUND	wgEncodeEH001579	160 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=JunD; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescJundV0416102UniPk; md5sum=bb12b73a74f082c12cfbef0c91fff0c6;
Download	H1-hESC	JUND	wgEncodeEH002023	238 KB	lab=Stanford; view=Peaks; treatment=None; antibody=JunD; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescJundIggrabUniPk; md5sum=f690c76b9512f7571097f29a49dea4bd;
Download	H1-hESC	KDM5A	wgEncodeEH002096	42 KB	lab=Broad; view=Peaks; treatment=None; antibody=JARID1A_(ab26049); control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000088; quality=good; tableName=wgEncodeAwgTfbsBroadH1hescJarid1aab26049UniPk; md5sum=a808486fab62296e4ac3781b8eb0aa73;
Download	H1-hESC	MAFK	wgEncodeEH002828	283 KB	lab=Stanford; view=Peaks; treatment=None; antibody=MafK_(ab50322); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk; md5sum=84933aa49ca854f4be9edf28d4f87886;
Download	H1-hESC	MAX	wgEncodeEH001757	228 KB	lab=USC; view=Peaks; treatment=None; antibody=Max; control=UCDavis; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001751; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescMaxUcdUniPk; md5sum=63047b925cc3567f62f3fab14a9a7e62;
Download	H1-hESC	MXI1	wgEncodeEH002829	163 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Mxi1_(AF4185); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescMxi1IggrabUniPk; md5sum=bea0a671abea059c1444751fd0a45bbc;
Download	H1-hESC	MYC	wgEncodeEH000596	23 KB	lab=UT-A; view=Peaks; treatment=None; antibody=c-Myc; dataVersion=ENCODE Mar 2012 Freeze; controlId=generic_male; quality=caution; tableName=wgEncodeAwgTfbsUtaH1hescCmycUniPk; md5sum=69fa9541f86339e945ccaf894e5e9e26;
Download	H1-hESC	MYC	wgEncodeEH002795	117 KB	lab=Stanford; view=Peaks; treatment=None; antibody=c-Myc; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk; md5sum=41dadfe592409defda14fdea727571be;
Download	H1-hESC	NANOG	wgEncodeEH001635	106 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=NANOG_(SC-33759); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescNanogsc33759V0416102UniPk; md5sum=581b0ee2f3c5c1a27901b88d8dceeff5;
Download	H1-hESC	NRF1	wgEncodeEH001847	110 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Nrf1; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk; md5sum=3beedeaabc10009036fbb0f99c599098;
Download	H1-hESC	POLR2A	wgEncodeEH000563	278 KB	lab=UT-A; view=Peaks; treatment=None; antibody=Pol2; dataVersion=ENCODE Mar 2012 Freeze; controlId=generic_male; quality=good; tableName=wgEncodeAwgTfbsUtaH1hescPol2UniPk; md5sum=9c8f9d088d625b9f1c716870eed2b732;
Download	H1-hESC	POLR2A	wgEncodeEH001499	494 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=Pol2; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL969; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescPol2V0416102UniPk; md5sum=5726bc76689f002650c0c79255787923;
Download	H1-hESC	POLR2A	wgEncodeEH001514	432 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=Pol2-4H8; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL969; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescPol24h8V0416102UniPk; md5sum=0b0d47aa9678832b637478ace2712a3a;
Download	H1-hESC	POU5F1	wgEncodeEH001636	80 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=POU5F1_(SC-9081); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescPou5f1sc9081V0416102UniPk; md5sum=df86c34d69b505aaa85eacadb926921e;
Download	H1-hESC	RAD21	wgEncodeEH001593	1.6 MB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=Rad21; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescRad21V0416102UniPk; md5sum=4e34800fad3d82aabf0df6e26ef91f00;
Download	H1-hESC	RAD21	wgEncodeEH001836	1.2 MB	lab=Stanford; view=Peaks; treatment=None; antibody=Rad21; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescRad21IggrabUniPk; md5sum=76d1094a2e1ee8d9e9808f1cd883154c;
Download	H1-hESC	RBBP5	wgEncodeEH002087	379 KB	lab=Broad; view=Peaks; treatment=None; antibody=RBBP5_(A300-109A); control=std; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH000088; quality=good; tableName=wgEncodeAwgTfbsBroadH1hescRbbp5a300109aUniPk; md5sum=881cb167d6ed2979b5e8078be3e774b3;
Download	H1-hESC	REST	wgEncodeEH001498	266 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=NRSF; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL969; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescNrsfV0416102UniPk; md5sum=bb68d39053c27a0f6ddaaea33ce530c6;
Download	H1-hESC	RFX5	wgEncodeEH001835	45 KB	lab=Stanford; view=Peaks; treatment=None; antibody=RFX5_(200-401-194); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescRfx5200401194IggrabUniPk; md5sum=68afe350609c5ae33c272d79e9552e15;
Download	H1-hESC	RXRA	wgEncodeEH001560	26 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=RXRA; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=caution; tableName=wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk; md5sum=b5cc63575e0f173c8c0767999107f0e5;
Download	H1-hESC	SIN3A	wgEncodeEH002854	534 KB	lab=Stanford; view=Peaks; treatment=None; antibody=SIN3A_(NB600-1263); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescSin3anb6001263IggrabUniPk; md5sum=ceaaad37aaa3584aaf0f6544411ca930;
Download	H1-hESC	SIN3AK20	wgEncodeEH001530	169 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=Sin3Ak-20; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescSin3ak20Pcr1xUniPk; md5sum=c9921859c6cb2429869c286ac95042d8;
Download	H1-hESC	SIX5	wgEncodeEH001528	72 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=SIX5; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescSix5Pcr1xUniPk; md5sum=3ed4a788d2df4cbc7a56a719aebb4e07;
Download	H1-hESC	SP1	wgEncodeEH001529	288 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=SP1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk; md5sum=af5c18c179033e80fa03c1b9a335d1cb;
Download	H1-hESC	SP2	wgEncodeEH002302	55 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=SP2_(SC-643); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6018; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk; md5sum=5db00e5cc5bf523729500ce181277182;
Download	H1-hESC	SP4	wgEncodeEH002317	110 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=SP4_(V-20); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6018; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk; md5sum=94afdd43c3d829a2b626e587e385153e;
Download	H1-hESC	SRF	wgEncodeEH001533	101 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=SRF; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescSrfPcr1xUniPk; md5sum=ebea7d9431e4414435cbfd82a64e0bce;
Download	H1-hESC	SUZ12	wgEncodeEH001752	118 KB	lab=USC; view=Peaks; treatment=None; antibody=SUZ12; control=UCDavis; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001751; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk; md5sum=ae4c9f2cd6f52f2fb26cd9d6013ed2f6;
Download	H1-hESC	TAF1	wgEncodeEH001500	414 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=TAF1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL969; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescTaf1V0416102UniPk; md5sum=83c7cb00750ef494a204ee286bd1ba7f;
Download	H1-hESC	TAF7	wgEncodeEH001610	244 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=TAF7_(SC-101167); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescTaf7sc101167V0416102UniPk; md5sum=8ef0bbeee6d48f38fc045e849c52de64;
Download	H1-hESC	TBP	wgEncodeEH001848	407 KB	lab=Stanford; view=Peaks; treatment=None; antibody=TBP; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescTbpIggrabUniPk; md5sum=164e5518e6050080854a6a12a1234b21;
Download	H1-hESC	TCF12	wgEncodeEH001531	148 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=TCF12; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescTcf12Pcr1xUniPk; md5sum=79715bdb49f352355b6edbcc096f743f;
Download	H1-hESC	TEAD4	wgEncodeEH003214	400 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=TEAD4_(SC-101184); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL6018; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescTead4sc101184V0422111UniPk; md5sum=f7b8aba3d01d491ea964f09cb0eb991a;
Download	H1-hESC	USF1	wgEncodeEH001532	496 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=USF-1; dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescUsf1Pcr1xUniPk; md5sum=5c5396ae02006578bf3c86f9ab7ca41a;
Download	H1-hESC	USF2	wgEncodeEH001837	175 KB	lab=Stanford; view=Peaks; treatment=None; antibody=USF2; control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk; md5sum=3541ce2b080fdc1750576452281f7898;
Download	H1-hESC	YY1	wgEncodeEH001567	352 KB	lab=HudsonAlpha; view=Peaks; treatment=None; antibody=YY1_(SC-281); dataVersion=ENCODE Mar 2012 Freeze; controlId=SL1398; quality=good; tableName=wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk; md5sum=727e71ab86397a5d8e1e13836a7cc530;
Download	H1-hESC	ZNF143	wgEncodeEH002802	758 KB	lab=Stanford; view=Peaks; treatment=None; antibody=Znf143_(16618-1-AP); control=IgG-rab; dataVersion=ENCODE Mar 2012 Freeze; controlId=wgEncodeEH001834; quality=good; tableName=wgEncodeAwgTfbsSydhH1hescZnf143IggrabUniPk; md5sum=5a6fde29757661140203c9d1813cce5f;
